,result
79,"5星 追忆之注连 空之杯; 等级:0
主属性为:【防御力%】
副属性为: 攻击力--18; 防御力--16; 元素充能效率--5.2%; 
该圣遗物最佳评分为:【81.4%】, 稀有度为5.2.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【81.4%】,该部位完美毕业难度为: 5.6"
63,"5星 追忆之注连 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 暴击伤害--7.0%; 生命值--299; 攻击力%--5.3%; 元素充能效率--5.2%; 
该圣遗物最佳评分为:【81.4%】, 稀有度为7.3.
---------build列表---------
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【81.4%】,该部位完美毕业难度为: 5.3
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【81.4%】,该部位完美毕业难度为: 5.3
对BUILD:[夜兰--通用--绝缘--<生水暴率>]的适配度为【69.7%】,该部位完美毕业难度为: 6.6"
37,"5星 深林的记忆 理之冠; 等级:0
主属性为:【防御力%】
副属性为: 暴击伤害--7.0%; 元素充能效率--5.2%; 生命值%--5.3%; 攻击力--19; 
该圣遗物最佳评分为:【81.4%】, 稀有度为7.5.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【81.4%】,该部位完美毕业难度为: 5.5"
97,"5星 流浪大地的乐团 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 元素充能效率--5.2%; 攻击力--18; 暴击伤害--5.4%; 暴击率--2.7%; 
该圣遗物最佳评分为:【81.4%】, 稀有度为7.6.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【81.4%】,该部位完美毕业难度为: 5.3"
153,"5星 角斗士的终幕礼 理之冠; 等级:0
主属性为:【防御力%】
副属性为: 防御力--19; 元素精通--23; 元素充能效率--5.2%; 
该圣遗物最佳评分为:【81.4%】, 稀有度为5.5.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【81.4%】,该部位完美毕业难度为: 5.5"
44,"5星 绝缘之旗印 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 攻击力--16; 暴击伤害--7.0%; 元素充能效率--5.2%; 
该圣遗物最佳评分为:【81.4%】, 稀有度为5.6.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【81.4%】,该部位完美毕业难度为: 5.3"
156,"5星 角斗士的终幕礼 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 攻击力%--5.3%; 元素充能效率--5.2%; 生命值--269; 
该圣遗物最佳评分为:【81.4%】, 稀有度为5.5.
---------build列表---------
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【81.4%】,该部位完美毕业难度为: 5.5
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【81.4%】,该部位完美毕业难度为: 5.5"
46,"5星 绝缘之旗印 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 暴击率--2.7%; 元素充能效率--5.2%; 攻击力%--4.7%; 
该圣遗物最佳评分为:【81.4%】, 稀有度为6.0.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【81.4%】,该部位完美毕业难度为: 5.3"
65,"5星 追忆之注连 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 元素充能效率--5.2%; 暴击率--3.9%; 生命值%--5.8%; 
该圣遗物最佳评分为:【81.4%】, 稀有度为6.0.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【81.4%】,该部位完美毕业难度为: 5.3"
34,"5星 深林的记忆 空之杯; 等级:0
主属性为:【攻击力%】
副属性为: 暴击率--3.1%; 元素充能效率--5.2%; 攻击力--16; 
该圣遗物最佳评分为:【81.0%】, 稀有度为5.9.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【81.0%】,该部位完美毕业难度为: 6.0"
10,"5星 追忆之注连 时之沙; 等级:4
主属性为:【攻击力%】
副属性为: 防御力%--6.6%; 生命值--209; 暴击率--3.9%; 生命值%--4.1%; 
该圣遗物最佳评分为:【80.6%】, 稀有度为7.3.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【80.6%】,该部位完美毕业难度为: 5.7
对BUILD:[甘雨--永冻--冰风--<攻冰暴伤>]的适配度为【66.4%】,该部位完美毕业难度为: 5.9"
133,"5星 角斗士的终幕礼 时之沙; 等级:0
主属性为:【攻击力%】
副属性为: 生命值%--5.3%; 暴击率--3.9%; 生命值--299; 
该圣遗物最佳评分为:【80.6%】, 稀有度为5.6.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【80.6%】,该部位完美毕业难度为: 5.7
对BUILD:[甘雨--永冻--冰风--<攻冰暴伤>]的适配度为【66.4%】,该部位完美毕业难度为: 5.9"
132,"5星 角斗士的终幕礼 时之沙; 等级:0
主属性为:【攻击力%】
副属性为: 防御力--23; 暴击率--3.9%; 生命值%--5.3%; 
该圣遗物最佳评分为:【80.6%】, 稀有度为5.6.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【80.6%】,该部位完美毕业难度为: 5.7
对BUILD:[甘雨--永冻--冰风--<攻冰暴伤>]的适配度为【66.4%】,该部位完美毕业难度为: 5.9"
104,"5星 流浪大地的乐团 空之杯; 等级:0
主属性为:【攻击力%】
副属性为: 生命值--299; 元素充能效率--5.8%; 暴击率--2.7%; 
该圣遗物最佳评分为:【80.1%】, 稀有度为5.9.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【80.1%】,该部位完美毕业难度为: 6.0"
27,"5星 深林的记忆 死之羽; 等级:0
主属性为:【攻击力】
副属性为: 元素精通--21; 生命值%--5.3%; 攻击力%--5.3%; 元素充能效率--4.5%; 
该圣遗物最佳评分为:【79.8%】, 稀有度为6.1.
---------build列表---------
对BUILD:[草主--通用--草套--<充精精>]的适配度为【79.8%】,该部位完美毕业难度为: 4.1
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【66.5%】,该部位完美毕业难度为: 4.2
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【65.0%】,该部位完美毕业难度为: 4.1
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【65.0%】,该部位完美毕业难度为: 4.1"
120,"5星 翠绿之影 理之冠; 等级:0
主属性为:【暴击伤害】
副属性为: 防御力--19; 元素充能效率--6.5%; 生命值--239; 
该圣遗物最佳评分为:【79.3%】, 稀有度为5.8.
---------build列表---------
对BUILD:[温迪--辅助--风套--<充风双暴>]的适配度为【79.3%】,该部位完美毕业难度为: 5.7"
68,"5星 追忆之注连 时之沙; 等级:0
主属性为:【元素充能效率】
副属性为: 攻击力%--5.8%; 攻击力--14; 暴击率--3.5%; 
该圣遗物最佳评分为:【79.1%】, 稀有度为6.5.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【79.1%】,该部位完美毕业难度为: 5.7
对BUILD:[九条--绝缘--<充雷双暴>]的适配度为【69.4%】,该部位完美毕业难度为: 7.0
对BUILD:[雷神--绝缘--<充雷双暴>]的适配度为【69.4%】,该部位完美毕业难度为: 7.0
对BUILD:[莫娜--大招--宗室--<充水双暴>]的适配度为【69.4%】,该部位完美毕业难度为: 7.0
对BUILD:[班尼特--通用--宗室--<充生治>]的适配度为【68.0%】,该部位完美毕业难度为: 6.6"
31,"5星 深林的记忆 时之沙; 等级:0
主属性为:【元素充能效率】
副属性为: 生命值%--4.1%; 防御力%--6.6%; 生命值--269; 
该圣遗物最佳评分为:【78.8%】, 稀有度为6.2.
---------build列表---------
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【78.8%】,该部位完美毕业难度为: 6.2
对BUILD:[草主--通用--草套--<充精精>]的适配度为【73.7%】,该部位完美毕业难度为: 6.2"
149,"5星 角斗士的终幕礼 空之杯; 等级:0
主属性为:【防御力%】
副属性为: 元素充能效率--4.5%; 生命值--209; 防御力--23; 
该圣遗物最佳评分为:【78.6%】, 稀有度为5.2.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【78.6%】,该部位完美毕业难度为: 5.6"
146,"5星 角斗士的终幕礼 空之杯; 等级:0
主属性为:【防御力%】
副属性为: 暴击率--3.9%; 攻击力--14; 元素充能效率--4.5%; 
该圣遗物最佳评分为:【78.6%】, 稀有度为5.9.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【78.6%】,该部位完美毕业难度为: 5.6"
136,"5星 角斗士的终幕礼 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 暴击率--3.5%; 元素充能效率--4.5%; 攻击力%--5.8%; 
该圣遗物最佳评分为:【78.6%】, 稀有度为6.0.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【78.6%】,该部位完美毕业难度为: 5.3"
22,"5星 饰金之梦 空之杯; 等级:0
主属性为:【生命值%】
副属性为: 攻击力--14; 元素充能效率--4.5%; 攻击力%--5.3%; 
该圣遗物最佳评分为:【78.6%】, 稀有度为5.6.
---------build列表---------
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【78.6%】,该部位完美毕业难度为: 5.6
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【78.6%】,该部位完美毕业难度为: 5.6
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【78.6%】,该部位完美毕业难度为: 5.6"
58,"5星 绝缘之旗印 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 暴击伤害--7.8%; 防御力%--7.3%; 元素充能效率--4.5%; 
该圣遗物最佳评分为:【78.6%】, 稀有度为6.2.
---------build列表---------
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【78.6%】,该部位完美毕业难度为: 5.5
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【78.6%】,该部位完美毕业难度为: 5.5"
25,"5星 饰金之梦 理之冠; 等级:0
主属性为:【防御力%】
副属性为: 生命值--209; 暴击率--3.5%; 元素充能效率--4.5%; 
该圣遗物最佳评分为:【78.6%】, 稀有度为5.8.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【78.6%】,该部位完美毕业难度为: 5.5"
55,"5星 绝缘之旗印 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 生命值--269; 暴击伤害--7.0%; 元素充能效率--4.5%; 
该圣遗物最佳评分为:【78.6%】, 稀有度为5.8.
---------build列表---------
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【78.6%】,该部位完美毕业难度为: 5.5
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【78.6%】,该部位完美毕业难度为: 5.5"
82,"5星 追忆之注连 理之冠; 等级:0
主属性为:【防御力%】
副属性为: 生命值--209; 防御力--23; 元素充能效率--4.5%; 
该圣遗物最佳评分为:【78.6%】, 稀有度为5.0.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【78.6%】,该部位完美毕业难度为: 5.5"
71,"5星 追忆之注连 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 暴击率--3.1%; 元素精通--16; 攻击力%--5.3%; 
该圣遗物最佳评分为:【78.4%】, 稀有度为6.0.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.3
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.3"
67,"5星 追忆之注连 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 攻击力%--5.3%; 元素精通--16; 防御力%--7.3%; 
该圣遗物最佳评分为:【78.4%】, 稀有度为5.7.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.3
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.3"
29,"5星 深林的记忆 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 攻击力%--5.8%; 暴击伤害--5.4%; 元素精通--16; 
该圣遗物最佳评分为:【78.4%】, 稀有度为6.0.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.3
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.3"
99,"5星 流浪大地的乐团 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 攻击力--16; 攻击力%--5.3%; 元素精通--16; 防御力--21; 
该圣遗物最佳评分为:【78.4%】, 稀有度为6.6.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.3
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.3
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【72.7%】,该部位完美毕业难度为: 5.4"
52,"5星 绝缘之旗印 空之杯; 等级:0
主属性为:【生命值%】
副属性为: 防御力--19; 攻击力--19; 元素精通--16; 
该圣遗物最佳评分为:【78.4%】, 稀有度为5.2.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.6
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.6"
43,"5星 绝缘之旗印 时之沙; 等级:0
主属性为:【元素充能效率】
副属性为: 元素精通--16; 防御力--21; 生命值--299; 
该圣遗物最佳评分为:【78.4%】, 稀有度为5.8.
---------build列表---------
对BUILD:[草主--通用--草套--<充精精>]的适配度为【78.4%】,该部位完美毕业难度为: 6.2
对BUILD:[温迪--辅助--风套--<充风双暴>]的适配度为【78.4%】,该部位完美毕业难度为: 6.2"
138,"5星 角斗士的终幕礼 空之杯; 等级:0
主属性为:【攻击力%】
副属性为: 生命值--239; 生命值%--5.3%; 元素精通--16; 暴击率--3.5%; 
该圣遗物最佳评分为:【78.0%】, 稀有度为7.6.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【78.0%】,该部位完美毕业难度为: 6.0"
24,"5星 饰金之梦 理之冠; 等级:0
主属性为:【暴击率】
副属性为: 攻击力%--5.3%; 元素精通--23; 防御力%--6.6%; 
该圣遗物最佳评分为:【76.6%】, 稀有度为6.7.
---------build列表---------
对BUILD:[提纳里--饰金--<精草双暴>]的适配度为【76.6%】,该部位完美毕业难度为: 6.2
对BUILD:[温迪--辅助--风套--<充风双暴>]的适配度为【68.3%】,该部位完美毕业难度为: 5.7
对BUILD:[草神--草套--<精精暴率>]的适配度为【68.3%】,该部位完美毕业难度为: 6.8
对BUILD:[甘雨--通用--乐团、追忆--<攻冰双暴>]的适配度为【68.3%】,该部位完美毕业难度为: 6.2
对BUILD:[皇女--如雷、攻击2--<攻雷双暴>]的适配度为【68.3%】,该部位完美毕业难度为: 6.2
对BUILD:[刻晴--如雷--<攻雷双暴>]的适配度为【68.3%】,该部位完美毕业难度为: 6.2"
124,"5星 角斗士的终幕礼 死之羽; 等级:0
主属性为:【攻击力】
副属性为: 元素充能效率--5.8%; 暴击率--2.7%; 元素精通--23; 生命值%--5.3%; 
该圣遗物最佳评分为:【76.1%】, 稀有度为6.4.
---------build列表---------
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【76.1%】,该部位完美毕业难度为: 4.2
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【69.3%】,该部位完美毕业难度为: 4.1
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【69.3%】,该部位完美毕业难度为: 4.1
对BUILD:[草主--通用--草套--<充精精>]的适配度为【68.6%】,该部位完美毕业难度为: 4.1
对BUILD:[温迪--风套--<精精精>]的适配度为【68.6%】,该部位完美毕业难度为: 4.1
对BUILD:[温迪--辅助--风套--<充风双暴>]的适配度为【68.6%】,该部位完美毕业难度为: 4.1
对BUILD:[万叶--风套--<精精精>]的适配度为【68.6%】,该部位完美毕业难度为: 4.1
对BUILD:[班尼特--通用--宗室--<充生治>]的适配度为【66.6%】,该部位完美毕业难度为: 4.5"
141,"5星 角斗士的终幕礼 空之杯; 等级:0
主属性为:【攻击力%】
副属性为: 生命值%--5.8%; 攻击力--14; 元素精通--23; 暴击率--3.1%; 
该圣遗物最佳评分为:【75.3%】, 稀有度为7.6.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【75.3%】,该部位完美毕业难度为: 6.0"
113,"5星 翠绿之影 时之沙; 等级:0
主属性为:【元素充能效率】
副属性为: 攻击力%--4.1%; 暴击伤害--6.2%; 防御力%--6.6%; 
该圣遗物最佳评分为:【73.7%】, 稀有度为6.9.
---------build列表---------
对BUILD:[温迪--辅助--风套--<充风双暴>]的适配度为【73.7%】,该部位完美毕业难度为: 6.2"
163,"5星 被怜爱的少女 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 攻击力%--4.7%; 攻击力--14; 元素精通--19; 
该圣遗物最佳评分为:【73.7%】, 稀有度为5.5.
---------build列表---------
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【73.7%】,该部位完美毕业难度为: 5.5"
17,"5星 饰金之梦 死之羽; 等级:0
主属性为:【攻击力】
副属性为: 生命值%--5.8%; 生命值--269; 元素精通--23; 
该圣遗物最佳评分为:【73.6%】, 稀有度为3.9.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【73.6%】,该部位完美毕业难度为: 4.1
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【73.6%】,该部位完美毕业难度为: 4.1"
3,"5星 绝缘之旗印 死之羽; 等级:4
主属性为:【攻击力】
副属性为: 生命值%--5.3%; 元素精通--21; 暴击率--3.1%; 元素充能效率--5.8%; 
该圣遗物最佳评分为:【73.2%】, 稀有度为6.4.
---------build列表---------
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【73.2%】,该部位完美毕业难度为: 4.2
对BUILD:[班尼特--通用--宗室--<充生治>]的适配度为【70.8%】,该部位完美毕业难度为: 4.5
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【65.0%】,该部位完美毕业难度为: 4.1
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【65.0%】,该部位完美毕业难度为: 4.1"
5,"5星 绝缘之旗印 死之羽; 等级:4
主属性为:【攻击力】
副属性为: 暴击率--3.9%; 生命值%--4.7%; 元素充能效率--5.2%; 防御力--19; 
该圣遗物最佳评分为:【73.1%】, 稀有度为5.9.
---------build列表---------
对BUILD:[班尼特--通用--宗室--<充生治>]的适配度为【73.1%】,该部位完美毕业难度为: 4.5"
158,"5星 角斗士的终幕礼 理之冠; 等级:0
主属性为:【攻击力%】
副属性为: 防御力%--7.3%; 攻击力--19; 暴击率--2.7%; 
该圣遗物最佳评分为:【72.6%】, 稀有度为5.8.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【72.6%】,该部位完美毕业难度为: 5.9"
0,"5星 饰金之梦 时之沙; 等级:4
主属性为:【元素精通】
副属性为: 暴击率--3.1%; 攻击力%--4.7%; 防御力%--5.1%; 防御力--21; 
该圣遗物最佳评分为:【72.2%】, 稀有度为8.2.
---------build列表---------
对BUILD:[提纳里--饰金--<精草双暴>]的适配度为【72.2%】,该部位完美毕业难度为: 7.0"
129,"5星 角斗士的终幕礼 时之沙; 等级:0
主属性为:【元素充能效率】
副属性为: 暴击率--2.7%; 防御力--23; 攻击力%--5.3%; 生命值--299; 
该圣遗物最佳评分为:【72.1%】, 稀有度为7.7.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【72.1%】,该部位完美毕业难度为: 5.7"
134,"5星 角斗士的终幕礼 时之沙; 等级:0
主属性为:【攻击力%】
副属性为: 攻击力--14; 元素充能效率--5.8%; 生命值--269; 
该圣遗物最佳评分为:【72.0%】, 稀有度为4.9.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【72.0%】,该部位完美毕业难度为: 5.7"
4,"5星 绝缘之旗印 死之羽; 等级:4
主属性为:【攻击力】
副属性为: 防御力--16; 暴击率--3.9%; 攻击力%--5.8%; 元素精通--23; 
该圣遗物最佳评分为:【71.2%】, 稀有度为5.9.
---------build列表---------
对BUILD:[香菱--通用--绝缘--<充火双暴>]的适配度为【71.2%】,该部位完美毕业难度为: 6.7
对BUILD:[莫娜--通用--绝缘--<攻水双暴>]的适配度为【71.2%】,该部位完美毕业难度为: 6.7
对BUILD:[行秋--大招--绝缘--<充水暴率>]的适配度为【71.2%】,该部位完美毕业难度为: 6.7"
105,"5星 流浪大地的乐团 空之杯; 等级:0
主属性为:【攻击力%】
副属性为: 生命值--269; 暴击率--3.9%; 防御力%--6.6%; 
该圣遗物最佳评分为:【70.7%】, 稀有度为5.9.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【70.7%】,该部位完美毕业难度为: 6.0"
57,"5星 绝缘之旗印 理之冠; 等级:0
主属性为:【攻击力%】
副属性为: 攻击力--14; 暴击率--3.9%; 防御力--23; 
该圣遗物最佳评分为:【70.7%】, 稀有度为5.3.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【70.7%】,该部位完美毕业难度为: 5.9"
119,"5星 翠绿之影 理之冠; 等级:0
主属性为:【攻击力%】
副属性为: 防御力%--6.6%; 暴击率--3.9%; 生命值--299; 
该圣遗物最佳评分为:【70.7%】, 稀有度为5.8.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【70.7%】,该部位完美毕业难度为: 5.9"
54,"5星 绝缘之旗印 理之冠; 等级:0
主属性为:【攻击力%】
副属性为: 暴击率--3.9%; 元素精通--16; 生命值%--5.3%; 
该圣遗物最佳评分为:【70.7%】, 稀有度为6.2.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【70.7%】,该部位完美毕业难度为: 5.9"
80,"5星 追忆之注连 空之杯; 等级:0
主属性为:【生命值%】
副属性为: 攻击力%--5.3%; 防御力%--6.6%; 暴击率--3.9%; 
该圣遗物最佳评分为:【70.7%】, 稀有度为6.3.
---------build列表---------
对BUILD:[班尼特--通用--宗室--<充生治>]的适配度为【70.7%】,该部位完美毕业难度为: 6.0"
103,"5星 流浪大地的乐团 空之杯; 等级:0
主属性为:【攻击力%】
副属性为: 攻击力--16; 防御力--21; 暴击率--3.9%; 元素精通--23; 
该圣遗物最佳评分为:【70.7%】, 稀有度为7.2.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【70.7%】,该部位完美毕业难度为: 6.0"
75,"5星 追忆之注连 空之杯; 等级:0
主属性为:【攻击力%】
副属性为: 元素充能效率--5.2%; 暴击伤害--7.8%; 防御力%--7.3%; 攻击力--14; 
该圣遗物最佳评分为:【70.2%】, 稀有度为7.6.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【70.2%】,该部位完美毕业难度为: 6.0"
70,"5星 追忆之注连 时之沙; 等级:0
主属性为:【攻击力%】
副属性为: 元素充能效率--5.2%; 攻击力--19; 生命值%--4.7%; 
该圣遗物最佳评分为:【70.2%】, 稀有度为5.3.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【70.2%】,该部位完美毕业难度为: 5.7"
135,"5星 角斗士的终幕礼 时之沙; 等级:0
主属性为:【攻击力%】
副属性为: 元素充能效率--5.2%; 攻击力--14; 生命值%--5.8%; 
该圣遗物最佳评分为:【70.2%】, 稀有度为5.3.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【70.2%】,该部位完美毕业难度为: 5.7"
90,"5星 流浪大地的乐团 生之花; 等级:0
主属性为:【生命值】
副属性为: 生命值%--5.3%; 元素充能效率--6.5%; 暴击伤害--7.0%; 
该圣遗物最佳评分为:【70.2%】, 稀有度为4.7.
---------build列表---------
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【70.2%】,该部位完美毕业难度为: 4.1
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【70.2%】,该部位完美毕业难度为: 4.1
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【70.2%】,该部位完美毕业难度为: 4.1"
40,"5星 绝缘之旗印 死之羽; 等级:0
主属性为:【攻击力】
副属性为: 生命值%--5.3%; 元素精通--16; 元素充能效率--6.5%; 
该圣遗物最佳评分为:【70.2%】, 稀有度为4.4.
---------build列表---------
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【70.2%】,该部位完美毕业难度为: 4.1
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【70.2%】,该部位完美毕业难度为: 4.1
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【70.2%】,该部位完美毕业难度为: 4.1
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【69.7%】,该部位完美毕业难度为: 4.2"
16,"5星 饰金之梦 生之花; 等级:0
主属性为:【生命值】
副属性为: 生命值%--5.3%; 防御力--21; 元素充能效率--6.5%; 
该圣遗物最佳评分为:【70.2%】, 稀有度为3.9.
---------build列表---------
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【70.2%】,该部位完美毕业难度为: 4.1
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【70.2%】,该部位完美毕业难度为: 4.1
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【70.2%】,该部位完美毕业难度为: 4.1"
88,"5星 昔日宗室之仪 死之羽; 等级:0
主属性为:【攻击力】
副属性为: 生命值--269; 元素充能效率--6.5%; 防御力--16; 元素精通--21; 
该圣遗物最佳评分为:【69.8%】, 稀有度为5.1.
---------build列表---------
对BUILD:[温迪--风套--<精精精>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1
对BUILD:[草主--通用--草套--<充精精>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1
对BUILD:[万叶--风套--<精精精>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1
对BUILD:[温迪--辅助--风套--<充风双暴>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1"
126,"5星 角斗士的终幕礼 死之羽; 等级:0
主属性为:【攻击力】
副属性为: 元素精通--21; 元素充能效率--6.5%; 生命值--269; 
该圣遗物最佳评分为:【69.8%】, 稀有度为3.9.
---------build列表---------
对BUILD:[草主--通用--草套--<充精精>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1
对BUILD:[万叶--风套--<精精精>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1
对BUILD:[温迪--辅助--风套--<充风双暴>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1
对BUILD:[温迪--风套--<精精精>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1"
86,"5星 沉沦之心 生之花; 等级:0
主属性为:【生命值】
副属性为: 暴击伤害--5.4%; 元素精通--21; 元素充能效率--6.5%; 
该圣遗物最佳评分为:【69.8%】, 稀有度为4.7.
---------build列表---------
对BUILD:[温迪--风套--<精精精>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1
对BUILD:[草主--通用--草套--<充精精>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1
对BUILD:[万叶--风套--<精精精>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1
对BUILD:[温迪--辅助--风套--<充风双暴>]的适配度为【69.8%】,该部位完美毕业难度为: 4.1"
